PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
3,6.018034505602117,3.4597151915552344,0.6877413725279321,0.325960556721196,411,50.29781868616103,57.34944492127215,free,y/s,distr,y/u,"381.64, 155.02","2906.42, 194.69",39.20157571426069,11.38323759,,,,
2,5.797053600808649,3.988529680115692,0.6774792634119635,0.3973391463878433,181,78.06111644751236,49.7473789252516,distr,e/h,distr,e/s,"802.74, 186.42","2611.23, 201.75",90.8247678965602,11.36833335,,,,
0,7.406587563214632,2.0219558680875207,0.6693358729089411,0.3986897175947863,1,57.032964271440456,90.89423957182008,free,y/u,free,e/h,"2250.17, 407.14","2381.88, 335.87",32.52372794631164,12.19690626,,,,
0,5.1464035923918985,2.100242128625847,0.6631960656525507,0.2973100629137082,526,70.78007978334202,59.0334628319231,foc,y/s,free,e/s,"1889.35, 340.61","631.28, 692.81",82.54687172198206,11.53805287,,,,
0,5.049528104716287,3.760868689108696,0.7625885748066833,0.2327835991474336,110,47.8348478503865,42.129052789055805,foc,y/h,free,y/u,"403.29, 171.22","1596.1, 315.44",69.57673196179746,12.15886786,,,,
0,5.011357491969268,3.777752957591252,0.7832959505677706,0.1838278890260382,169,39.46994548299888,39.52378759799402,foc,e/h,foc,y/h,"331.56, 160.89","2208.45, 330.22",76.7402055487851,11.35341101,,,,
0,5.022802373385956,3.830097452056537,0.797294719703423,0.3764469031800708,317,43.5665727616334,60.780370810323966,distr,e/h,foc,e/u,"332.06, 158.96","4048.1, 687.35",88.08100057356319,11.25153054,,,,
0,6.414834022774094,3.181554685056414,0.6712713680677046,0.3296523247506088,440,40.54264168231189,59.09480704806428,foc,e/s,foc,y/s,"2744.96, 374.82","2688.23, 307.8",77.93299888186023,12.0566229,,,,
0,5.003018876692395,3.861413735750902,0.7815009281636079,0.3828141963780315,221,46.22445762368216,72.53504051298178,foc,y/h,free,y/u,"403.29, 171.22","1596.1, 315.44",86.13301475781975,12.19211041,,,,
5,7.232765243069921,2.1229135779865027,0.6626672475450068,0.2989479426633019,167,60.24177831543268,44.41834322549562,foc,e/h,distr,y/s,"2925.1, 231.67","2924.15, 198.27",68.35341953019872,11.98768624,,,,
0,7.319647199839714,4.398723300077559,0.6620919941788852,0.3909847498107971,241,55.85450512853993,75.56854709684399,free,y/u,free,e/h,"2250.17, 407.14","2381.88, 335.87",71.1785525323253,12.26700875,,,,
2,7.289613077735817,2.8247664550780565,0.6498832530203454,0.3972276167757739,171,73.38031763173036,88.35350706703596,distr,e/u,foc,e/h,"387.72, 259.61","2095.46, 212.76",77.72751696613359,12.37086394,,,,
0,5.649864135004954,2.123631172311141,0.7880558588492715,0.3939519067975745,284,63.991315044509314,94.55541831869274,free,e/s,distr,y/u,"3766.18, 776.64","707.5, 747.35",79.17123752954107,11.42799875,,,,
0,5.69704240229726,2.05341143121458,0.7830285645983581,0.381670393724545,133,98.56371105174384,43.47563000838105,free,e/s,foc,e/u,"394.74, 767.75","1983.4, 299.33",69.498797050143,11.79336932,,,,
0,5.028502810837809,4.002619753429506,0.509992256837317,0.380009082126421,365,58.1908179918136,48.775874022406725,free,y/h,free,e/h,"1535.08, 500.33","2499.7, 526.28",82.57728847821761,12.24060789,,,,
